base_sample_id,image_filename,source_expression,repaired_expression,repair_decision,source_expression_truth,confidence,added_atoms,removed_or_replaced_atoms,evidence_citations,reason,review_status,eligible_for_training
hallu_000733_COCO_train2014_000000257163,COCO_train2014_000000257163.jpg,the person next to the dog,the person in the dark jacket next to the dog,rewrite,ambiguous,high,"[{""text"": ""in the dark jacket"", ""type"": ""attribute"", ""evidence_cue"": ""dark (black or very dark navy) jacket""}]",[],"[""dark (black or very dark navy) jacket"", ""a second person (wearing orange top)""]",Added 'in the dark jacket' to distinguish the target person from the same-category distractor who is wearing an orange top.,pending_human_confirmation,False
hallu_000748_COCO_train2014_000000285064,COCO_train2014_000000285064.jpg,the person holding the remote,the person holding two white remotes,rewrite,ambiguous,high,"[{""text"": ""two"", ""type"": ""attribute"", ""evidence_cue"": ""holds two white Wii remotes instead of one""}, {""text"": ""white"", ""type"": ""color"", ""evidence_cue"": ""two white Wii remotes held in hands""}]","[{""source_text"": ""the remote"", ""replacement_text"": ""two white remotes"", ""reason"": ""target holds two remotes, singular phrasing better matches a distractor holding only one remote""}]","[""holds two white Wii remotes instead of one"", ""two white Wii remotes held in hands""]","The source expression uses the singular 'remote', which is ambiguous and better matches a same-category distractor holding exactly one remote. The target is holding two white remotes, so the expression is rewritten to specify the correct count and color to uniquely identify the target.",pending_human_confirmation,False
hallu_000751_COCO_train2014_000000374248,COCO_train2014_000000374248.jpg,the red umbrella next to the backpack,the red umbrella next to the backpack,keep,supported,high,[],[],"[""black backpack lies on towel immediately to the right of umbrella pole base"", ""two umbrellas visible... both are red... but the relation disambiguates""]","The source expression includes the spatial relation 'next to the backpack', which successfully and uniquely disambiguates the target from the other red umbrella in the scene. All atoms are fully supported by the visual evidence.",pending_human_confirmation,False
hallu_000765_COCO_train2014_000000473870,COCO_train2014_000000473870.jpg,the person in front of the skis,the person in the dark blue jacket in front of the skis,rewrite,ambiguous,high,"[{""text"": ""in the dark blue jacket"", ""type"": ""color"", ""evidence_cue"": ""dark blue puffy jacket""}]",[],"[""dark blue puffy jacket"", ""the person is positioned in front of a pair of skis lying horizontally on the snow behind them""]",The source expression is supported but potentially ambiguous given multiple skiers in the scene. Adding the dark blue jacket color uniquely identifies the target and prevents confusion with the distractor in the red jacket.,pending_human_confirmation,False
hallu_000781_COCO_train2014_000000490541,COCO_train2014_000000490541.jpg,the tennis racket in the child's hand,the maroon and yellow tennis racket in the child's hand,rewrite,ambiguous,high,"[{""text"": ""maroon and yellow"", ""type"": ""color"", ""evidence_cue"": ""maroon frame with yellow trim""}]",[],"[""maroon frame with yellow trim""]",The source expression is ambiguous because there are two children holding tennis rackets in the image. Adding the specific colors of the target racket's frame disambiguates it from the blue and white racket held by the other child.,pending_human_confirmation,False
hallu_000787_COCO_train2014_000000163713,COCO_train2014_000000163713.jpg,the person sitting next to the dining table,the leftmost person sitting next to the dining table wearing a patterned beige shirt,rewrite,ambiguous,high,"[{""text"": ""leftmost"", ""type"": ""relation"", ""evidence_cue"": ""person is on the left side of the table (viewer’s left)""}, {""text"": ""wearing a patterned beige shirt"", ""type"": ""attribute"", ""evidence_cue"": ""beige/tan with black leafy pattern shirt""}]",[],"[""person is on the left side of the table (viewer’s left)"", ""beige/tan with black leafy pattern shirt""]",The source expression is ambiguous because there are multiple people sitting at the same dining table. Added 'leftmost' and 'wearing a patterned beige shirt' to uniquely identify the target based on visual evidence.,pending_human_confirmation,False
hallu_000798_COCO_train2014_000000515815,COCO_train2014_000000515815.jpg,the person lying on the couch,the person in the light blue shirt lying on the couch,rewrite,ambiguous,high,"[{""text"": ""in the light blue shirt"", ""type"": ""color"", ""evidence_cue"": ""solid light blue long-sleeve shirt""}]",[],"[""solid light blue long-sleeve shirt"", ""a second person lies on another couch to the right""]",The source expression is ambiguous because there is a second person also lying on a separate couch in the scene. Added the color of the target's shirt to uniquely identify them.,pending_human_confirmation,False
hallu_000799_COCO_train2014_000000325966,COCO_train2014_000000325966.jpg,the laptop in front of the person,the laptop in front of the woman,rewrite,ambiguous,high,"[{""text"": ""woman"", ""type"": ""object"", ""evidence_cue"": ""laptop is in front of the woman (left person)""}]","[{""source_text"": ""person"", ""replacement_text"": ""woman"", ""reason"": ""disambiguate from the man who also has a laptop in front of him""}]","[""laptop is in front of the woman (left person)"", ""man sits to the right; orange box encloses a different laptop in front of him""]",The source expression is ambiguous because there are two people and two laptops in the image. Replacing 'person' with 'woman' uniquely identifies the target laptop on the left.,pending_human_confirmation,False
hallu_000820_COCO_train2014_000000503472,COCO_train2014_000000503472.jpg,the dining table in front of the couch,the yellow circular coffee table in front of the couch,rewrite,contradicted,high,"[{""text"": ""yellow"", ""type"": ""color"", ""evidence_cue"": ""bright yellow circular tabletop""}, {""text"": ""circular"", ""type"": ""attribute"", ""evidence_cue"": ""clear circular edge""}, {""text"": ""coffee"", ""type"": ""object"", ""evidence_cue"": ""low height (coffee table)""}]","[{""source_text"": ""dining table"", ""replacement_text"": ""yellow circular coffee table"", ""reason"": ""visual evidence contradicts dining table and confirms it is a low yellow circular coffee table""}]","[""bright yellow circular tabletop"", ""low height (coffee table)"", ""clear circular edge"", ""directly in front of the light-colored fabric couch""]","The source expression incorrectly identifies the target as a dining table, which is contradicted by visual evidence showing a low, yellow, circular coffee table. The spatial relation is correct. The expression is rewritten to fix the category and add distinguishing color and shape cues to prevent confusion with the other dark round table in the room.",pending_human_confirmation,False
hallu_000821_COCO_train2014_000000033764,COCO_train2014_000000033764.jpg,the person next to the frisbee,the person in black on the far right,rewrite,ambiguous,high,"[{""text"": ""in black"", ""type"": ""color"", ""evidence_cue"": ""wearing black full-body athletic outfit""}, {""text"": ""on the far right"", ""type"": ""relation"", ""evidence_cue"": ""positioned distinctly right of frisbee holder""}]","[{""source_text"": ""next to the frisbee"", ""replacement_text"": ""on the far right"", ""reason"": ""replaced ambiguous relation with precise spatial location to distinguish from other people near the frisbee""}]","[""only person on far right wearing black full-body athletic outfit"", ""positioned distinctly right of frisbee holder""]",The source expression is ambiguous as multiple people are near the frisbee. Added color and spatial cues to uniquely identify the target on the far right wearing a black athletic outfit.,pending_human_confirmation,False
hallu_000871_COCO_train2014_000000292844,COCO_train2014_000000292844.jpg,the person in front of the chair,the person in blue in front of the chair,rewrite,ambiguous,high,"[{""text"": ""in blue"", ""type"": ""color"", ""evidence_cue"": ""blue knit top and denim jeans""}]",[],"[""blue knit top and denim jeans"", ""solid medium-blue long-sleeve knit top""]",The source expression is technically supported but lacks a distinguishing cue given three same-category distractors and the baseline's confusion with another person. Adding the color cue 'in blue' robustly disambiguates the target.,pending_human_confirmation,False
hallu_000874_COCO_train2014_000000152431,COCO_train2014_000000152431.jpg,the person next to the sandwich,the person next to the sandwich,keep,supported,high,[],[],"[""only one person (GT) has direct adjacency to the sandwich; others are farther away"", ""sandwich half lies on white cloth directly to the right of the person’s torso; spatial adjacency confirmed""]","The source expression truthfully and sufficiently identifies the exact target. Visual evidence confirms that only one person is directly adjacent to the sandwich, making the expression unambiguous. The baseline model's failure was due to a spatial reasoning error rather than a flaw in the referring expression.",pending_human_confirmation,False
hallu_000882_COCO_train2014_000000349527,COCO_train2014_000000349527.jpg,the skis held by the person,the yellow skis held by the person in a black jacket,rewrite,ambiguous,high,"[{""text"": ""yellow"", ""type"": ""color"", ""evidence_cue"": ""yellow ski base""}, {""text"": ""in a black jacket"", ""type"": ""attribute"", ""evidence_cue"": ""person wearing a black jacket with blue trim""}]",[],"[""yellow ski base"", ""person wearing a black jacket""]",The source expression is ambiguous because there are multiple people holding skis in the scene. Added the color of the skis and the jacket color of the person holding them to uniquely identify the target.,pending_human_confirmation,False
hallu_000923_COCO_train2014_000000333356,COCO_train2014_000000333356.jpg,the backpack on the person's back,the backpack with a bright blue front pocket on the back of the person in a purple jacket,rewrite,ambiguous,high,"[{""text"": ""with a bright blue front pocket"", ""type"": ""attribute"", ""evidence_cue"": ""bright blue front pocket""}, {""text"": ""in a purple jacket"", ""type"": ""attribute"", ""evidence_cue"": ""worn by person in purple jacket""}]","[{""source_text"": ""on the person's back"", ""replacement_text"": ""on the back of the person in a purple jacket"", ""reason"": ""specify which person to disambiguate from other people wearing backpacks""}]","[""bright blue front pocket"", ""worn by person in purple jacket""]",The source expression is ambiguous due to multiple backpacks in the scene. Adding the bright blue front pocket and the purple jacket of the wearer uniquely identifies the target.,pending_human_confirmation,False
hallu_000931_COCO_train2014_000000062233,COCO_train2014_000000062233.jpg,the person holding a remote,the person wearing a black beanie and glasses holding a remote,rewrite,ambiguous,high,"[{""text"": ""wearing a black beanie and glasses"", ""type"": ""attribute"", ""evidence_cue"": ""wearing black beanie and glasses""}]",[],"[""wearing black beanie and glasses""]",The source expression is ambiguous because multiple people in the image are holding remotes. Added the distinguishing visual attributes of wearing a black beanie and glasses to uniquely identify the target person.,pending_human_confirmation,False
hallu_000932_COCO_train2014_000000066853,COCO_train2014_000000066853.jpg,the laptop in front of the TV,the leftmost laptop in front of the TV,rewrite,ambiguous,high,"[{""text"": ""leftmost"", ""type"": ""attribute"", ""evidence_cue"": ""the green-boxed laptop is leftmost of three laptops visible""}]",[],"[""the green-boxed laptop is leftmost of three laptops visible"", ""full image shows three laptops: green (left), center (unboxed), orange (right)""]","While the target is the only laptop directly aligned in front of the TV, the presence of three laptops on the same desk creates spatial ambiguity that led to baseline confusion. Adding 'leftmost' provides a clear, supported disambiguating cue.",pending_human_confirmation,False
hallu_000935_COCO_train2014_000000271473,COCO_train2014_000000271473.jpg,the person holding a wine glass,the person in the striped shirt holding a wine glass,rewrite,ambiguous,high,"[{""text"": ""in the striped shirt"", ""type"": ""attribute"", ""evidence_cue"": ""clear striped pattern on torso""}]",[],"[""clear striped pattern on torso"", ""woman in yellow top holding wine glass""]",The source expression is ambiguous because another person in the scene is also holding a wine glass. Adding the striped shirt attribute uniquely identifies the target.,pending_human_confirmation,False
hallu_000947_COCO_train2014_000000322239,COCO_train2014_000000322239.jpg,the bed under the suitcase,the bed under the suitcase,keep,supported,high,[],[],"[""target box covers a continuous brown fabric surface consistent with a bed"", ""target box is spatially below the suitcase's base; suitcase rests on it""]",The source expression truthfully and sufficiently identifies the exact target. Visual evidence confirms the target is a bed and it is located under the suitcase.,pending_human_confirmation,False
hallu_000972_COCO_train2014_000000135589,COCO_train2014_000000135589.jpg,the person wearing a red tie,the person with a beard wearing a red tie,rewrite,ambiguous,high,"[{""text"": ""with a beard"", ""type"": ""attribute"", ""evidence_cue"": ""facial features and beard visible only in GT person""}]",[],"[""facial features and beard visible only in GT person"", ""visible facial hair (beard and mustache)""]",The source expression is ambiguous because a background distractor is also wearing a red tie. Adding 'with a beard' distinguishes the sharply focused target in the foreground from the blurred background figure.,pending_human_confirmation,False
hallu_017587_COCO_train2014_000000017587,COCO_train2014_000000017587.jpg,the person holding a cup,the person holding a cup and wearing a white patterned headband,rewrite,supported,high,"[{""text"": ""wearing a white patterned headband"", ""type"": ""attribute"", ""evidence_cue"": ""white patterned headband""}]",[],"[""white patterned headband"", ""holding a cup with right hand""]","The source expression is truthful but lacks a distinguishing cue to prevent confusion with the three same-category distractors, as evidenced by baseline failures. Added the white patterned headband cue to uniquely and robustly identify the target.",pending_human_confirmation,False
hallu_019123_COCO_train2014_000000019123,COCO_train2014_000000019123.jpg,the person sitting in front of the bookshelf,the person sitting in front of the bookshelf,keep,supported,high,[],[],"[""one clearly visible person fully enclosed by green GT box"", ""posture confirms seated position"", ""person's back is adjacent to and in front of bookshelf"", ""only one person in front of bookshelf""]","The source expression truthfully and sufficiently identifies the exact target, as visual evidence confirms there is only one person sitting in front of the bookshelf.",pending_human_confirmation,False
hallu_084815_COCO_train2014_000000084815,COCO_train2014_000000084815.jpg,the chair behind the dining table,the chair behind the dining table,keep,supported,high,[],[],"[""the GT box is positioned behind the dining table"", ""green box encloses a vertical dark object consistent with chair back""]",The source expression accurately and sufficiently identifies the target chair using the supported spatial relation 'behind the dining table'.,pending_human_confirmation,False
hallu_102290_COCO_train2014_000000102290,COCO_train2014_000000102290.jpg,the person next to the traffic light,the person doing a handstand next to the traffic light,rewrite,supported,high,"[{""text"": ""doing a handstand"", ""type"": ""action_state"", ""evidence_cue"": ""performing handstand / breakdance move""}]",[],"[""performing handstand / breakdance move"", ""traffic light is immediately to the right of the person's head""]","The source expression's spatial relation is supported and likely unique, but adding the highly visible action state ensures the target is unambiguously distinguished from the three same-category distractors in the scene.",pending_human_confirmation,False
hallu_113436_COCO_train2014_000000113436,COCO_train2014_000000113436.jpg,the person sitting on the wooden table,the person sitting on the wooden table,keep,supported,high,[],[],"[""person is seated on a low wooden table/shelf unit"", ""posture shows seated position with weight on surface"", ""brown surface with clear wood grain texture""]","The source expression truthfully and sufficiently identifies the exact target. The only same-category distractor is a standing person, making the action and relation 'sitting on the wooden table' a fully disambiguating and accurate description.",pending_human_confirmation,False
hallu_129359_COCO_train2014_000000129359,COCO_train2014_000000129359.jpg,the bowl with sprouts next to the spoon,the bowl with sprouts next to the spoon,keep,supported,high,[],[],"[""green box tightly encloses a white ceramic bowl"", ""green micro-sprouts clearly fill the bowl interior"", ""spoon is inside the immediately adjacent left bowl; spatial proximity satisfies 'next to'""]","The source expression truthfully and sufficiently identifies the exact target. All object, attribute, and relational atoms are fully supported by the visual evidence, and there are no same-category distractors.",pending_human_confirmation,False
hallu_135796_COCO_train2014_000000135796,COCO_train2014_000000135796.jpg,the bowl on the table,the bowl on the table,keep,supported,high,[],[],"[""GT box tightly encloses a clear glass bowl containing a mixed substance"", ""bowl rests directly on mosaic-tiled table surface""]","The source expression truthfully and sufficiently identifies the exact target, which is a bowl on a table. The category hint 'chair' is an incorrect metadata tag, but the expression and target align perfectly with no same-category distractors.",pending_human_confirmation,False
hallu_140291_COCO_train2014_000000140291,COCO_train2014_000000140291.jpg,the person standing next to the truck,the person in the pale yellow shirt standing next to the truck,rewrite,ambiguous,high,"[{""text"": ""in the pale yellow shirt"", ""type"": ""color"", ""evidence_cue"": ""pale yellow/cream shirt""}]",[],"[""pale yellow/cream shirt"", ""two people are near the truck""]",The source expression is ambiguous because there are two people standing next to the truck. Added the target's shirt color to uniquely identify them.,pending_human_confirmation,False
hallu_156757_COCO_train2014_000000156757,COCO_train2014_000000156757.jpg,the tie on the person's neck,the black tie with white cross-like patterns on the person in the white shirt,rewrite,ambiguous,high,"[{""text"": ""black"", ""type"": ""color"", ""evidence_cue"": ""black tie with white cross-like pattern""}, {""text"": ""with white cross-like patterns"", ""type"": ""attribute"", ""evidence_cue"": ""black tie with white cross-like pattern""}, {""text"": ""in the white shirt"", ""type"": ""attribute"", ""evidence_cue"": ""worn by female-presenting person in white shirt""}]","[{""source_text"": ""the tie"", ""replacement_text"": ""the black tie with white cross-like patterns"", ""reason"": ""added color and pattern to distinguish from other ties""}, {""source_text"": ""person's"", ""replacement_text"": ""person in the white shirt"", ""reason"": ""added clothing to distinguish the person from others""}]","[""black tie with white cross-like pattern"", ""worn by female-presenting person in white shirt""]","The source expression is ambiguous as there are multiple people wearing ties in the image. Added the tie's specific color and pattern, along with the person's shirt color, to uniquely identify the target.",pending_human_confirmation,False
hallu_212070_COCO_train2014_000000212070,COCO_train2014_000000212070.jpg,the umbrella held by the person,the pink umbrella held by the person,rewrite,ambiguous,high,"[{""text"": ""pink"", ""type"": ""color"", ""evidence_cue"": ""bright solid pink color""}]",[],"[""bright solid pink color""]",The source expression is ambiguous due to the presence of another umbrella. Adding the color 'pink' uniquely identifies the target.,pending_human_confirmation,False
hallu_237831_COCO_train2014_000000237831,COCO_train2014_000000237831.jpg,the baby in the high chair,the baby in the high chair,keep,supported,high,[],[],"[""small human infant clearly visible within green GT box"", ""baby is seated inside the high chair structure (backrest and tray visible around baby)"", ""only one infant visible in image""]","The source expression truthfully and sufficiently identifies the exact target. The target is the only baby in the image and is clearly seated in a high chair, making the expression unambiguous.",pending_human_confirmation,False
hallu_269532_COCO_train2014_000000269532,COCO_train2014_000000269532.jpg,the person next to the sheep,the person in the cowboy hat next to the sheep,rewrite,ambiguous,high,"[{""text"": ""in the cowboy hat"", ""type"": ""attribute"", ""evidence_cue"": ""cowboy hat (distinctive vs. other person's cap)""}]",[],"[""cowboy hat (distinctive vs. other person's cap)"", ""sheep occupy space immediately to the right of the GT-boxed person""]","The source expression is ambiguous due to the presence of multiple people in the scene, including others near the sheep. Adding 'in the cowboy hat' uniquely identifies the target based on distinctive visual evidence.",pending_human_confirmation,False
hallu_285679_COCO_train2014_000000285679,COCO_train2014_000000285679.jpg,the car in front of the truck,the car in front of the truck,keep,supported,high,[],[],"[""GT car is spatially closer to camera and ahead of the larger burnt truck"", ""green box contains a clearly identifiable burnt car""]",The source expression truthfully and sufficiently identifies the target car using the supported spatial relation 'in front of the truck'.,pending_human_confirmation,False
hallu_309292_COCO_train2014_000000309292,COCO_train2014_000000309292.jpg,the bowl in front of the spoon,the light yellow bowl on the reddish-brown plate,rewrite,ambiguous,high,"[{""text"": ""light yellow"", ""type"": ""color"", ""evidence_cue"": ""light yellow or beige""}, {""text"": ""on the reddish-brown plate"", ""type"": ""relation"", ""evidence_cue"": ""sitting on a reddish-brown oval plate""}]","[{""source_text"": ""in front of the spoon"", ""replacement_text"": ""on the reddish-brown plate"", ""reason"": ""Replaced awkward and ambiguous spatial relation with a clearer disambiguating cue to distinguish from another bowl with a spoon in the scene.""}]","[""light yellow or beige"", ""sitting on a reddish-brown oval plate""]",The source expression is ambiguous due to the presence of another bowl containing a spoon. Replaced the awkward 'in front of the spoon' relation with distinct color and plate cues to uniquely identify the target.,pending_human_confirmation,False
hallu_313873_COCO_train2014_000000313873,COCO_train2014_000000313873.jpg,the person holding a cell phone,the person in a red hoodie holding a cell phone,rewrite,ambiguous,high,"[{""text"": ""in a red hoodie"", ""type"": ""attribute"", ""evidence_cue"": ""solid red sweatshirt with yellow/black logo on chest""}]",[],"[""solid red sweatshirt with yellow/black logo on chest"", ""right person fully outside GT box holding blue phone""]",The source expression is ambiguous because another person in the scene is also holding a cell phone. Adding 'in a red hoodie' uniquely identifies the target based on the visual evidence.,pending_human_confirmation,False
hallu_329239_COCO_train2014_000000329239,COCO_train2014_000000329239.jpg,the car parked behind the tennis court,the white car parked behind the left side of the tennis court,rewrite,ambiguous,high,"[{""text"": ""white"", ""type"": ""color"", ""evidence_cue"": ""white/light-colored body""}, {""text"": ""left side"", ""type"": ""relation"", ""evidence_cue"": ""position directly behind the left side of the tennis net""}]","[{""source_text"": ""the car"", ""replacement_text"": ""the white car"", ""reason"": ""added color to distinguish from the dark SUV distractor""}, {""source_text"": ""behind the tennis court"", ""replacement_text"": ""behind the left side of the tennis court"", ""reason"": ""added spatial position to distinguish from the car on the right""}]","[""white/light-colored body"", ""position directly behind the left side of the tennis net""]",The source expression is ambiguous because there is another car (a dark SUV) also parked behind the tennis court fence. Added 'white' and 'left side' to uniquely identify the target car based on visual evidence.,pending_human_confirmation,False
hallu_364293_COCO_train2014_000000364293,COCO_train2014_000000364293.jpg,the person next to the dishwasher,the person next to the dishwasher,keep,supported,high,[],[],"[""person's right side directly adjacent to left side of open dishwasher; zero gap between them"", ""baseline box encloses second person wearing red/blue/gray horizontal stripes, positioned near white oven, not near dishwasher""]","The source expression truthfully and sufficiently identifies the exact target. The spatial relation 'next to the dishwasher' uniquely distinguishes the target from the same-category distractor, who is located near the oven. The baseline models' failure to ground the correct instance does not make the expression itself ambiguous.",pending_human_confirmation,False
hallu_374924_COCO_train2014_000000374924,COCO_train2014_000000374924.jpg,the person holding the baseball bat,the person holding the baseball bat,keep,supported,high,[],[],"[""both hands gripping bat in ready batting stance"", ""a second person (umpire/catcher) is crouched to the left and slightly behind the batter""]","The source expression truthfully and sufficiently identifies the target. The only other person in the scene is an umpire/catcher who is not holding a bat, making the relation 'holding the baseball bat' uniquely disambiguating.",pending_human_confirmation,False
hallu_426149_COCO_train2014_000000426149,COCO_train2014_000000426149.jpg,the person next to the table,the person next to the table holding a white Wii remote,rewrite,ambiguous,high,"[{""text"": ""holding a white Wii remote"", ""type"": ""action_state"", ""evidence_cue"": ""holding white Wii remote in right hand""}]",[],"[""holding white Wii remote in right hand"", ""person is positioned next to a table""]",The source expression is ambiguous due to the presence of multiple people. Adding the specific action of holding a white Wii remote uniquely identifies the target person next to the table.,pending_human_confirmation,False
hallu_496374_COCO_train2014_000000496374,COCO_train2014_000000496374.jpg,the pizza on the cooling rack,the pizza on the cooling rack,keep,supported,high,[],[],"[""Metal wire rack is directly beneath the pizza inside the GT box; pizza rests on it."", ""A second pizza (in box) is to the left of the GT pizza, partially visible.""]","The source expression accurately and unambiguously identifies the target pizza, which is resting on a cooling rack, distinguishing it from the other pizza in the image that is inside a box.",pending_human_confirmation,False
hallu_502148_COCO_train2014_000000502148,COCO_train2014_000000502148.jpg,the bed next to the suitcase,the left bed next to the suitcase,rewrite,ambiguous,high,"[{""text"": ""left"", ""type"": ""attribute"", ""evidence_cue"": ""the GT bed is the left-hand bed in the image""}]",[],"[""the GT bed is the left-hand bed in the image"", ""a black suitcase with extended handle is positioned between the two beds""]","The suitcase is positioned between the two beds, meaning both beds are next to it. Adding 'left' resolves the same-category ambiguity by specifying the target's position.",pending_human_confirmation,False
hallu_565476_COCO_train2014_000000565476,COCO_train2014_000000565476.jpg,the apple in front of the bananas,the mottled red and yellow apple in front of the bananas,rewrite,ambiguous,high,"[{""text"": ""mottled red and yellow"", ""type"": ""color"", ""evidence_cue"": ""visible surface shows red base with yellow patches and numerous small dark brown/black speckles""}]",[],"[""visible surface shows red base with yellow patches and numerous small dark brown/black speckles"", ""a second apple lies in front of the GT apple, closer to viewer""]",The source expression is ambiguous because there is another brighter red apple in front of the target. Adding the color cue 'mottled red and yellow' uniquely identifies the target apple based on its distinct skin pattern.,pending_human_confirmation,False
